MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE991427900045;WEA 16;In Betrieb;14.12.2012;09.04.2020;Wind;2000;2000;17398;Neu Kosenow;Märkische Windkraft 74 GmbH & Co. KG;ABR996650992263;04.12.2024
SEE943640925497;WEA 6;In Betrieb;01.04.2020;03.04.2020;Wind;3600;3600;19230;Hoort;Windpark Hoort 1 GmbH & Co. Betriebs-KG;ABR937496028297;18.06.2021
SEE968295315615;531135;In Betrieb;29.12.2010;02.04.2020;Wind;800;800;17217;Penzlin;Windpark GmbH & Co. Penzlin KG;ABR935707565579;17.05.2023
SEE983366676587;531136;In Betrieb;28.12.2010;02.04.2020;Wind;800;800;17217;Penzlin;Windpark GmbH & Co. Penzlin KG;ABR935707565579;17.05.2023
SEE930101343402;531137;In Betrieb;30.12.2010;02.04.2020;Wind;800;800;17217;Penzlin;Windpark GmbH & Co. Penzlin KG;ABR935707565579;17.05.2023
SEE986921101760;531138;In Betrieb;21.12.2010;02.04.2020;Wind;800;800;17217;Penzlin;Windpark GmbH & Co. Penzlin KG;ABR935707565579;15.07.2025
SEE927295654469;531134;In Betrieb;21.12.2010;01.04.2020;Wind;800;800;17217;Penzlin;Windpark GmbH & Co. Penzlin KG;ABR935707565579;17.05.2023
SEE992446631217;WP Petersdorf I WEA 4 (25717);In Betrieb;14.12.2006;31.03.2020;Wind;2000;2000;17348;Woldegk;Alterric Windpark Petersdorf I GmbH & Co. KG;ABR936519233250;13.12.2024
SEE974111962697;WP Petersdorf I WEA 6 (25718);In Betrieb;14.12.2006;31.03.2020;Wind;2000;2000;17348;Woldegk;Alterric Windpark Petersdorf I GmbH & Co. KG;ABR936519233250;13.12.2024
SEE932274617038;WP Petersdorf I WEA 7 (25719);In Betrieb;25.05.2007;31.03.2020;Wind;2000;2000;17348;Woldegk;Alterric Windpark Petersdorf I GmbH & Co. KG;ABR936519233250;13.12.2024
SEE907287417036;WP Hoort 2 - WEA16;In Betrieb;19.03.2020;30.03.2020;Wind;3600;3600;19230;Hoort;Windpark Hoort 2 GmbH & Co. KG;ABR939826000522;28.01.2025
SEE905369993362;WP Hoort 2 - WEA17;In Betrieb;27.03.2020;30.03.2020;Wind;3600;3600;19230;Hoort;Windpark Hoort 2 GmbH & Co. KG;ABR939826000522;28.01.2025
SEE909216562084;WEA 4;In Betrieb;06.09.2013;28.03.2020;Wind;2000;2000;17098;Friedland;Geb. Müller Schmidt GbR;ABR926859018600;05.02.2025
SEE959171559469;WEA B;In Betrieb;12.11.2002;28.03.2020;Wind;1800;1800;17098;Friedland;AER Wind GbR;ABR998774194233;28.03.2020
SEE946117799270;WEA 3;In Betrieb;02.08.2013;27.03.2020;Wind;2000;2000;17098;Friedland;HKSW GbR;ABR922099346732;05.02.2025
SEE971512425608;WEA 1;In Betrieb;19.07.2013;27.03.2020;Wind;2000;2000;17098;Friedland;(natürliche Person);ABR982579800079;29.01.2025
